ix,iy,icloudy,icol,irow,x,y,MASL,land_percent,nwl,wl,nip,meas_type,nbvm,sza,vza,raa,meas,ifcov,ifmp,NPIXELS,TIMESTAMP,HEIGHT_OBS,NSURF,IFGAS
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,41,14,24.1095009,49.1403999,332.187988,0.157329574,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,41,14,24.1095009,54.4426003,327.808014,0.164081857,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,41,14,24.1095009,59.0555992,324.582001,0.170503616,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,58.9737015,107.779999,-4.10354510E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,54.3372002,104.532997,-3.29722129E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,49.0166016,100.114998,-2.42278315E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,43.0206985,93.8447037,-1.51144443E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,36.6192017,84.4761963,-6.38321461E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,30.5984001,69.9596024,-4.86175995E-04,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,26.6492996,48.5620003,8.48595286E-04,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,26.7001991,23.2919998,-1.16689689E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,30.7297993,2.05051994,-2.69152480E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,36.7719994,347.694000,-3.93434055E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,43.1637001,338.415009,-7.39501929E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,49.1403999,332.187988,-1.19048655E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,54.4426003,327.808014,-1.69772580E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,42,14,24.1095009,59.0555992,324.582001,-2.24108547E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,58.9737015,107.779999,-4.63235192E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,54.3372002,104.532997,-4.09283862E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,49.0166016,100.114998,-3.48331556E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,43.0206985,93.8447037,-2.78177168E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,36.6192017,84.4761963,-1.97124500E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,30.5984001,69.9596024,-1.12771345E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,26.6492996,48.5620003,-3.81688355E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,26.7001991,23.2919998,-7.85687997E-04,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,30.7297993,2.05051994,-1.15068455E-04,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,36.7719994,347.694000,1.57930551E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,43.1637001,338.415009,4.88632498E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,49.1403999,332.187988,9.19942278E-03,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,54.4426003,327.808014,1.38510307E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.490000010,3,43,14,24.1095009,59.0555992,324.582001,1.85584091E-02,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,58.7006989,107.602997,0.141543269,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,54.0222015,104.296997,0.133097783,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,48.6565018,99.7929001,0.124926813,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,42.6264992,93.3718033,0.117265858,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,36.2168999,83.7427979,0.111181915,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,30.2684994,68.8378983,0.109395221,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,26.5193005,47.0228996,0.109728374,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,26.8504009,21.7796001,0.112406306,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,31.0664997,0.965596020,0.115637220,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
1,1,1,1360,2944,-17.0130005,14.4720001,57.0000000,0.00000000,6,0.564999998,1,41,14,24.1095009,37.1679993,346.997986,0.117482044,0,0,4,2008-06-14T14:49:28Z,705000.00,0,0
